,id,created_at,updated_at,job_id,step,status,updated_by,content_filter,project_id,selected_flavors,flavors,prompt_schema_id,cloned_from_id,is_archived,metadata,root_id,content_type,ai_model_id
0,0ef50c8a-c01b-4e30-b52a-928f59f07d2b,2023-03-23 21:08:49,2022-11-10 01:56:43,1a98587c-58a2-4c81-ba74-eed3cace8e3d,catch,remain,into,"{""key1"": ""follow"", ""key2"": ""evening""}",b9d412c7-388b-42e2-a6e2-25958f6b8dcb,"{""key1"": ""example"", ""key2"": ""each""}","{""key1"": ""nor"", ""key2"": ""whom""}",d0aecade-0fa7-4a07-944f-09d9e596fc66,83468f0e-2edc-444d-be06-11576579ef8e,False,"{""key1"": ""represent"", ""key2"": ""cold""}",74622ee8-bbac-4009-b377-dc1c50422479,pattern,0ba2393b-6fe3-4998-b65d-dead2e41b494
1,bc890020-04fa-46fc-b24a-c24c44fc77b1,2023-02-27 02:32:54,2023-04-26 10:18:01,749e202c-b56f-48f9-ada4-a7ffad4ef005,edge,buy,most,"{""key1"": ""throughout"", ""key2"": ""since""}",a21659e3-51af-4f99-9c3a-ac73e6f2431e,"{""key1"": ""process"", ""key2"": ""power""}","{""key1"": ""ready"", ""key2"": ""attack""}",1e0fb040-7731-4cfa-80a0-399f95a86f5a,e7f51a8b-6157-4fb7-a1de-d11a353dbcda,True,"{""key1"": ""name"", ""key2"": ""citizen""}",e88c0db3-460d-49bf-ace7-9a657f5aa8ca,late,956597e3-7433-4ea0-92ef-4cbf4f381844
2,0f781048-9ed3-4a80-90fd-adc1bf83eeb1,2022-12-04 09:36:11,2023-06-19 19:56:16,21fa87e0-553a-43a2-a287-005a0f9d4e72,each,message,look,"{""key1"": ""whose"", ""key2"": ""treat""}",7ddc3b3a-7e9e-4664-b618-8751d96a5e97,"{""key1"": ""change"", ""key2"": ""seat""}","{""key1"": ""Congress"", ""key2"": ""reveal""}",50fcb5b3-47f5-451d-9c6e-4dc44cc14453,f43b73a9-1f0c-4984-aa24-bc59c3177345,True,"{""key1"": ""hotel"", ""key2"": ""interest""}",472c256a-4a9e-4af9-a852-a172ad499ed4,system,59ef37e6-76b5-46ba-ae8f-91398fd541dd
3,1fcae300-db7e-4695-942a-883108b20b3d,2023-07-04 02:24:25,2022-12-22 21:19:35,2d26cb99-234f-43a1-bb79-3229d065636b,list,south,they,"{""key1"": ""financial"", ""key2"": ""foreign""}",9523d87d-0d2f-473f-afac-94d527fd41ea,"{""key1"": ""court"", ""key2"": ""special""}","{""key1"": ""decision"", ""key2"": ""tough""}",3f2ab616-10c9-4461-b220-d4a9d73a55d4,ed8546ff-654d-494a-aa28-7a296c488a69,False,"{""key1"": ""special"", ""key2"": ""require""}",af1162c3-5a0c-4393-8dc4-4d4ea951b55c,and,38e5f0bc-a644-47bb-a7c6-bcb3afa772b8
4,a27eddd4-8ae3-47a7-9a4f-50b37b087635,2023-07-22 19:01:11,2023-10-13 01:26:03,4e3ea916-a7a4-424d-a697-8cfbaab857d8,build,good,fast,"{""key1"": ""lead"", ""key2"": ""industry""}",a60788f7-5bb7-45e1-aa4c-8070173d19db,"{""key1"": ""training"", ""key2"": ""race""}","{""key1"": ""event"", ""key2"": ""south""}",ea3fc86c-37f6-48de-bc0e-67e0eabe3779,9ae800ce-a208-478d-9b11-64cfcc3c8de5,True,"{""key1"": ""kitchen"", ""key2"": ""religious""}",16cac6e4-2b0c-489a-ad5a-e289384b6a06,really,8afd8fea-e638-4f7d-9aa9-67e4951cd57c
5,a7d82a5b-b957-4147-994d-6c401431657a,2023-01-19 21:49:52,2023-04-25 05:29:21,bd4e3bec-434a-4125-889d-9c24e22ad1da,condition,space,among,"{""key1"": ""natural"", ""key2"": ""strategy""}",4dc82d79-0c7b-4aa7-89f2-443a7ea586ab,"{""key1"": ""black"", ""key2"": ""summer""}","{""key1"": ""relate"", ""key2"": ""inside""}",a768c282-5ef9-4644-9ed2-2c0d1520be9a,f705b093-ec88-4e9a-9030-46a123a55ad1,True,"{""key1"": ""expect"", ""key2"": ""foreign""}",025c286f-0d15-4a6e-b5a4-9a21601c9ec6,apply,79f5f026-4c3f-4d01-85bc-618fe6aa206f
6,8b5f6a1a-18cb-49cf-9dad-e2069faf5fe7,2023-01-19 12:24:39,2023-08-09 01:06:52,3b5f7380-ae98-44f1-bfdb-e47ab1d7b1cc,five,sort,outside,"{""key1"": ""charge"", ""key2"": ""personal""}",fcdf09be-7957-4762-8195-734817446185,"{""key1"": ""human"", ""key2"": ""four""}","{""key1"": ""education"", ""key2"": ""fine""}",df32875d-ef1e-40f6-bfc8-1b60eafe632b,9be70e9e-80f2-40e9-a46e-60bd9d4fe36c,True,"{""key1"": ""how"", ""key2"": ""enjoy""}",f2ce0682-b619-4230-98bd-1ee4b6859af9,lose,79308ba0-af12-4950-9b32-19a213430d11
7,5c9e68ee-70fe-441a-9030-21faac157785,2023-11-08 07:08:21,2023-07-19 10:25:01,b04d3a0c-b17f-4955-bae7-49e083ecadce,important,town,story,"{""key1"": ""wife"", ""key2"": ""sure""}",2ad904b2-87fc-42cb-8798-05da2c22efc9,"{""key1"": ""Congress"", ""key2"": ""especially""}","{""key1"": ""wind"", ""key2"": ""loss""}",cdef990f-f114-4695-97ae-f87b2badb015,3588c4aa-1c58-4759-9522-814c8ac3d468,True,"{""key1"": ""statement"", ""key2"": ""beat""}",c7a6c0fd-feb7-4164-aaf9-e009e9460017,area,a4483d6e-8a32-4afa-9dff-0f68cf0c980f
8,333057c7-3497-438c-aad3-373efcba0c31,2023-03-05 10:03:25,2023-09-03 15:22:00,95c63bb1-ee33-476f-a54d-1fbee6c288cf,thank,left,future,"{""key1"": ""run"", ""key2"": ""what""}",d5997000-c96d-4d64-9a14-f4860af964ef,"{""key1"": ""old"", ""key2"": ""people""}","{""key1"": ""hospital"", ""key2"": ""thus""}",d54cc378-1c10-43da-9ded-8d3187fec868,1bad8986-90b8-4884-afa5-0a60fc3da25c,True,"{""key1"": ""less"", ""key2"": ""bar""}",cb114e49-44a8-4386-9a85-1e2f3b7b4ef5,face,6dcbfd1a-1ac3-4379-b08f-e1156ae9c636
9,6169046c-0beb-40e0-bbfe-61c045c5c798,2023-09-28 21:47:55,2023-08-21 20:06:55,4c68cc79-1600-456a-88e9-0659828c1983,visit,identify,third,"{""key1"": ""high"", ""key2"": ""employee""}",16c824fd-c6ba-4ba6-92c0-99b973baf45e,"{""key1"": ""reason"", ""key2"": ""if""}","{""key1"": ""bad"", ""key2"": ""such""}",7ca95b33-d96c-4277-9821-d45a414ea5d5,ca991679-c443-4e56-8127-8d7ad61a20b2,False,"{""key1"": ""perform"", ""key2"": ""myself""}",5af03b15-76d9-4aac-ad9a-68dd2c1bca72,personal,c103190a-5f92-4c97-a308-b04cb83ae0cd
